Region,global warming
Vermont,100
Iowa,86
South Dakota,83
Maine,80
Connecticut,76
Hawaii,75
Wyoming,75
Colorado,74
Rhode Island,72
New Hampshire,71
Alaska,70
Maryland,70
Indiana,69
Wisconsin,68
Idaho,68
New Jersey,67
North Carolina,67
Montana,67
New Mexico,64
California,64
Michigan,63
Minnesota,63
Arkansas,63
Virginia,63
Kansas,63
New York,62
Arizona,62
Massachusetts,62
Illinois,61
Washington,61
West Virginia,60
Pennsylvania,60
Oregon,60
Utah,58
Ohio,58
Nebraska,58
Nevada,58
Delaware,58
Missouri,58
Kentucky,56
North Dakota,55
South Carolina,53
Florida,51
District of Columbia,51
Georgia,51
Oklahoma,50
Alabama,48
Texas,47
Mississippi,46
Louisiana,46
Tennessee,45
